# ./output
#run VMC Energy                 Variance                Comments
   1   1 13.011729 +/- 0.015839 131.175396 +/- 0.221165 # RUN1.wfn.casl
   2   3 -7.661273 +/- 0.002159 2.234596 +/- 0.099346   # RUN2.wfn.2.casl
   2   4 -7.655164 +/- 0.002251 2.314460 +/- 0.282054   # RUN2.wfn.3.casl
   2   5 -7.654958 +/- 0.002138 2.219627 +/- 0.055581   # RUN2.wfn.4.casl
   2   6 -7.655781 +/- 0.002263 2.323573 +/- 0.083747   # RUN2.wfn.5.casl
   2   7 -7.656567 +/- 0.002142 2.217254 +/- 0.046871   # RUN2.wfn.6.casl
   2   8 -7.657393 +/- 0.002179 2.151308 +/- 0.057568   # RUN2.wfn.7.casl
   2   9 -7.656534 +/- 0.002171 2.207567 +/- 0.055900   # RUN2.wfn.8.casl
   2  10 -7.658858 +/- 0.002192 2.255157 +/- 0.046362   # RUN2.wfn.9.casl
   2  11 -7.654701 +/- 0.002165 2.157006 +/- 0.055310   # RUN2.wfn.10.casl
   2  12 -7.654628 +/- 0.002156 2.142875 +/- 0.142305   # RUN2.wfn.11.casl
   2  13 -7.653070 +/- 0.002171 2.161263 +/- 0.078142   # RUN2.wfn.12.casl
   2  14 -7.660129 +/- 0.002182 2.202670 +/- 0.060207   # RUN2.wfn.13.casl
   2  15 -7.656350 +/- 0.002156 2.174817 +/- 0.052677   # RUN2.wfn.14.casl
   2  16 -7.656581 +/- 0.002126 2.127556 +/- 0.049941   # RUN2.wfn.15.casl
   2  17 -7.658439 +/- 0.002195 2.278928 +/- 0.089534   # RUN2.wfn.16.casl
   2  18 -7.656434 +/- 0.002294 2.359046 +/- 0.160499   # RUN2.wfn.17.casl
   2  19 -7.655750 +/- 0.002170 2.218622 +/- 0.058639   # RUN2.wfn.18.casl
   2  20 -7.656707 +/- 0.002103 2.124377 +/- 0.030761   # RUN2.wfn.19.casl
   3   1 -7.656848 +/- 0.000343 2.223269 +/- 0.029362   # RUN3.wfn.casl
   3   2 -7.657748 +/- 0.000349 2.259457 +/- 0.021768   # RUN3.wfn.1.casl
   3   3 -7.657571 +/- 0.000342 2.201119 +/- 0.007985   # RUN3.wfn.2.casl
   3   4 -7.657436 +/- 0.000343 2.203960 +/- 0.007704   # RUN3.wfn.3.casl
   3   5 -7.657182 +/- 0.000346 2.270088 +/- 0.046717   # RUN3.wfn.4.casl
   3   6 -7.657829 +/- 0.000346 2.231699 +/- 0.027179   # RUN3.wfn.5.casl
   3   7 -7.657205 +/- 0.000347 2.232869 +/- 0.018331   # RUN3.wfn.6.casl
   3   8 -7.657447 +/- 0.000346 2.223139 +/- 0.010565   # RUN3.wfn.7.casl
   3   9 -7.657316 +/- 0.000353 2.332694 +/- 0.103735   # RUN3.wfn.8.casl
   3  10 -7.658099 +/- 0.000348 2.282361 +/- 0.028727   # RUN3.wfn.9.casl
   3  11 -7.657672 +/- 0.000346 2.238759 +/- 0.023492   # RUN3.wfn.10.casl
   3  12 -7.657988 +/- 0.000348 2.283969 +/- 0.044352   # RUN3.wfn.11.casl
   3  13 -7.657832 +/- 0.000344 2.217524 +/- 0.013048   # RUN3.wfn.12.casl
   3  14 -7.657672 +/- 0.000348 2.262838 +/- 0.018475   # RUN3.wfn.13.casl
   3  15 -7.658446 +/- 0.000349 2.277953 +/- 0.032086   # RUN3.wfn.14.casl
   3  16 -7.658055 +/- 0.000348 2.285751 +/- 0.027392   # RUN3.wfn.15.casl
   3  17 -7.657265 +/- 0.000347 2.249430 +/- 0.026423   # RUN3.wfn.16.casl
   3  18 -7.657657 +/- 0.000347 2.270524 +/- 0.018884   # RUN3.wfn.17.casl
   3  19 -7.657562 +/- 0.000354 2.341021 +/- 0.069297   # RUN3.wfn.18.casl
   3  20 -7.658081 +/- 0.000346 2.251943 +/- 0.022412   # RUN3.wfn.19.casl
   3  21 -7.658582 +/- 0.000350 2.245344 +/- 0.010796   # RUN3.wfn.20.casl
   3  22 -7.658158 +/- 0.000344 2.232483 +/- 0.006852   # RUN3.wfn.21.casl
   3  23 -7.657517 +/- 0.000348 2.253765 +/- 0.014929   # RUN3.wfn.22.casl
   3  24 -7.657728 +/- 0.000345 2.224898 +/- 0.007866   # RUN3.wfn.23.casl
   3  25 -7.657678 +/- 0.000352 2.312528 +/- 0.069766   # RUN3.wfn.24.casl
   3  26 -7.657986 +/- 0.000346 2.257714 +/- 0.025462   # RUN3.wfn.25.casl

