   1   3   6   9  10  12        -0.424569E+00     -0.646015E+01      0.442573E-01
   3   6   7   9  10  12        -0.424569E+00     -0.646015E+01      0.442573E-01
   1   2   3   7  10  12         0.421052E+00     -0.646253E+01      0.446702E-01
   1   3   6  10  11  12         0.421052E+00     -0.646253E+01      0.446702E-01
   1   3   6   7   8  10         0.421052E+00     -0.646253E+01      0.446702E-01
   3   5   6   7  10  12         0.421052E+00     -0.646253E+01      0.446702E-01
   1   2   4   8   9  11         0.421052E+00     -0.646253E+01      0.446702E-01
   2   4   5   9  11  12         0.421052E+00     -0.646253E+01      0.446702E-01
   2   4   5   7   8   9         0.421052E+00     -0.646253E+01      0.446702E-01
   4   5   6   8   9  11         0.421052E+00     -0.646253E+01      0.446702E-01
   1   2   3   4   7   8        -0.350887E+00     -0.646410E+01      0.382325E-01
   5   6   9  10  11  12        -0.350887E+00     -0.646410E+01      0.382325E-01
   1   2   3   7   8  12        -0.283567E+00     -0.645467E+01      0.582191E-01
   1   2   3   6   7   8         0.283567E+00     -0.645467E+01      0.582191E-01
   1   2   4   7   8  11         0.283567E+00     -0.645467E+01      0.582191E-01
   1   2   4   5   7   8        -0.283567E+00     -0.645467E+01      0.582191E-01
   1   5   6  10  11  12        -0.283567E+00     -0.645467E+01      0.582191E-01
   2   5   6   9  11  12         0.283567E+00     -0.645467E+01      0.582191E-01
   5   6   7  10  11  12         0.283567E+00     -0.645467E+01      0.582191E-01
   5   6   8   9  11  12        -0.283567E+00     -0.645467E+01      0.582191E-01
   1   2   3   4   7  12         0.283683E+00     -0.644776E+01      0.582050E-01
   1   3   4   6   7   8         0.283683E+00     -0.644776E+01      0.582050E-01
   1   6   9  10  11  12         0.283683E+00     -0.644776E+01      0.582050E-01
   1   2   3   4   8  11        -0.283683E+00     -0.644776E+01      0.582050E-01
   5   6   7   9  10  12         0.283683E+00     -0.644776E+01      0.582050E-01
   2   3   4   5   7   8        -0.283683E+00     -0.644776E+01      0.582050E-01
   1   2   3   4   7  10         0.283567E+00     -0.645555E+01      0.578024E-01
   1   3   4   7   8  10        -0.283567E+00     -0.645555E+01      0.578024E-01
   2   5   9  10  11  12        -0.283683E+00     -0.644776E+01      0.582050E-01
   5   6   8   9  10  11        -0.283683E+00     -0.644776E+01      0.582050E-01
   3   5   6   9  10  12        -0.283567E+00     -0.645555E+01      0.578024E-01
   1   2   3   4   8   9        -0.283567E+00     -0.645555E+01      0.578024E-01
   3   6   9  10  11  12         0.283567E+00     -0.645555E+01      0.578024E-01
   2   3   4   7   8   9         0.283567E+00     -0.645555E+01      0.578024E-01
   4   5   6   9  10  11         0.283567E+00     -0.645555E+01      0.578024E-01
   4   5   9  10  11  12        -0.283567E+00     -0.645555E+01      0.578024E-01
   1   4   5  10  11  12        -0.272491E+00     -0.645790E+01      0.616034E-01
   1   2   3   8   9  12        -0.272491E+00     -0.645790E+01      0.616034E-01
   4   5   6   7  10  11        -0.272491E+00     -0.645790E+01      0.616034E-01
   2   3   6   7   8   9        -0.272491E+00     -0.645790E+01      0.616034E-01
   2   3   6   9  11  12        -0.272491E+00     -0.645790E+01      0.616034E-01
   1   2   4   7  10  11        -0.272491E+00     -0.645790E+01      0.616034E-01
   3   5   6   8   9  12        -0.272491E+00     -0.645790E+01      0.616034E-01
   1   4   5   7   8  10        -0.272491E+00     -0.645790E+01      0.616034E-01
   1   2   4   5   7  12         0.276618E+00     -0.644859E+01      0.606207E-01
   1   4   6   7   8  11         0.276618E+00     -0.644859E+01      0.606207E-01
   1   2   3   6   8  11         0.276618E+00     -0.644859E+01      0.606207E-01
   2   3   5   7   8  12         0.276618E+00     -0.644859E+01      0.606207E-01
